.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR4420293_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420293_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR4420294_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420294_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420295_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420295_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR4420296_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR4420296_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR4420297_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420297_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420298_1	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR4420298_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
