Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR4420293_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.2140794855411024e-05)	(5, 1.821119228311654e-05)	(6, 1.821119228311654e-05)	(7, 1.821119228311654e-05)	(8, 2.4281589710822048e-05)	(9, 2.4281589710822048e-05)	(10, 4.8563179421644096e-05)	(12, 6.98095704186134e-05)	(14, 9.712635884328819e-05)	(16, 0.00010926715369869922)	(18, 0.00012140794855411024)	(20, 0.00013658394212337401)	(22, 0.0001517599356926378)	(24, 0.00015783033312034332)	(26, 0.00016390073054804884)	(28, 0.00017604152540345988)	(30, 0.0002063935125419874)	(32, 0.00026102708939133704)	(34, 0.0003186958649545394)	(36, 0.0004067166276562693)	(38, 0.0005281245762103796)	(40, 0.000698095704186134)	(42, 0.0009925099794298514)	(44, 0.0012747834598181578)	(46, 0.0016723944913328687)	(48, 0.002170167080404721)	(50, 0.0028318404000246215)	(52, 0.003702942430900362)	(54, 0.004847212346022852)	(56, 0.0063981988888016095)	(58, 0.008471239610363043)	(60, 0.010656582684337026)	(62, 0.013536986263783291)	(64, 0.017176189521692746)	(66, 0.021689530009191795)	(68, 0.027574780315352293)	(70, 0.034926031600303664)	(72, 0.044584033907783135)	(74, 0.057292410922684625)	(76, 0.07321809857427003)	(78, 0.09258570156736448)	(80, 0.11688550247046964)	(82, 0.14720410242314483)	(84, 0.18393911245690475)	(86, 0.2311091356688904)	(88, 0.2895700980964083)
SRR4420293_2 - illumina_universal_adapter	(1, 1.821119228311654e-05)	(2, 7.284476913246615e-05)	(3, 0.00011533755112640474)	(4, 0.0002913790765298646)	(5, 0.0002974494739575701)	(6, 0.00041278702508397485)	(7, 0.0004431390122225024)	(8, 0.0005766877556320236)	(9, 0.0005827581530597292)	(10, 0.0006191805376259623)	(12, 0.0006313213324813733)	(14, 0.0007193420951831031)	(16, 0.000810398056598686)	(18, 0.0008832428257311521)	(20, 0.0009773339858605875)	(22, 0.000995545178143704)	(24, 0.0011473051138363418)	(26, 0.0012990650495289797)	(28, 0.001742204061751482)	(30, 0.00284094599616618)	(32, 0.0039730751164332575)	(34, 0.004807754762742766)	(36, 0.005077887448275661)	(38, 0.005387477717088642)	(40, 0.005779018351175648)	(42, 0.006064327030277807)	(44, 0.006373917299090788)	(46, 0.00678366912546091)	(48, 0.0073269696952405535)	(50, 0.008088804572417596)	(52, 0.009066138558278182)	(54, 0.010231654864397642)	(56, 0.011794782202031812)	(58, 0.013849611731310127)	(60, 0.01601067321557329)	(62, 0.018863760006594878)	(64, 0.022472611277365807)	(66, 0.026949529380298622)	(68, 0.03279228690446518)	(70, 0.04014657338813041)	(72, 0.04979243490075447)	(74, 0.06259186787707154)	(76, 0.07843864036209677)	(78, 0.0979033697140345)	(80, 0.12243688091810634)	(82, 0.15280100885148928)	(84, 0.1897242012055081)	(86, 0.23722809627601754)	(88, 0.29645999917685406)
SRR4420293_2 - polya	(1, 0.017956235591152905)	(2, 0.022776131148751082)	(3, 0.025374261247809043)	(4, 0.028391248769378683)	(5, 0.030242719984828862)	(6, 0.03328398909610932)	(7, 0.03582748561831793)	(8, 0.03837098214052655)	(9, 0.040440987663374124)	(10, 0.05323738544097734)	(12, 0.05872805991433698)	(14, 0.06196661694201787)	(16, 0.06504734363657841)	(18, 0.06786097284431993)	(20, 0.07075958761604931)	(22, 0.07454751561093755)	(24, 0.07839614758010284)	(26, 0.08121584718527206)	(28, 0.0841812363287062)	(30, 0.08627248824255074)	(32, 0.08830910657954594)	(34, 0.0909011662811762)	(36, 0.09445841917381162)	(38, 0.1006016613706496)	(40, 0.10276575805362662)	(42, 0.10455349009608589)	(44, 0.10645352449095771)	(46, 0.10832320689869102)	(48, 0.11033857884468924)	(50, 0.11260587228393726)	(52, 0.11412043644214978)	(54, 0.11597190765759996)	(56, 0.11854272096823323)	(58, 0.12032438261326481)	(60, 0.12217888902742885)	(62, 0.12472238554963745)	(64, 0.12636139285511794)	(66, 0.12772419707763782)	(68, 0.12946336594067545)	(70, 0.1316396034185079)	(72, 0.13468087252978833)	(74, 0.13669927967450043)	(76, 0.13888158754976054)	(78, 0.1407543051562077)	(80, 0.14466971149707775)	(82, 0.14808127485144829)	(84, 0.15009361159873263)	(86, 0.15220307470486033)	(88, 0.15584531316148362)
SRR4420294_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 7.627458313375913e-05)	(4, 0.00015780948234570856)	(5, 0.0002446046976358483)	(6, 0.000610196665070073)	(7, 0.0006680601419301662)	(8, 0.0006812109321256419)	(9, 0.0007548553572203059)	(10, 0.0008074585180022088)	(12, 0.0009429116570156085)	(14, 0.0011954068287687424)	(16, 0.0014176551830722818)	(18, 0.0015899305346330137)	(20, 0.001742479700900532)	(22, 0.0018397955483470522)	(24, 0.0019450018699108578)	(26, 0.0020909756410806384)	(28, 0.0022645660716609176)	(30, 0.002471033477729886)	(32, 0.0027590357830108046)	(34, 0.0032101078867156213)	(36, 0.0036980022029677703)	(38, 0.0043621171078392935)	(40, 0.005099876437805482)	(42, 0.006073034912270684)	(44, 0.007252660792804856)	(46, 0.008612452499017044)	(48, 0.010207643349728249)	(50, 0.012135549192384987)	(52, 0.014514527138746545)	(54, 0.017144685177841686)	(56, 0.020621754105525462)	(58, 0.02464063558926284)	(60, 0.029299960555519887)	(62, 0.03495217018153535)	(64, 0.042010199279447165)	(66, 0.050529281168076326)	(68, 0.06051204600546195)	(70, 0.07187038349729433)	(72, 0.0862534027340861)	(74, 0.10528522630497855)	(76, 0.12838984959940986)	(78, 0.15549625835032438)	(80, 0.19028535873343583)	(82, 0.23322926411676176)	(84, 0.28379405241836586)	(86, 0.3458421107186594)	(88, 0.4218641986806654)
SRR4420294_2 - illumina_universal_adapter	(1, 2.6301580390951427e-06)	(2, 2.6301580390951427e-06)	(3, 5.5233318820997995e-05)	(4, 0.00013150790195475714)	(5, 0.00016043964038480368)	(6, 0.00023145390744037255)	(7, 0.00023934438155765798)	(8, 0.0002787967521440851)	(9, 0.00033929038704327337)	(10, 0.0003747975205710578)	(12, 0.00045764749880255475)	(14, 0.0006167720601678109)	(16, 0.0008363902564322553)	(18, 0.0010034052919147968)	(20, 0.0011756806434755286)	(22, 0.0012716814119025015)	(24, 0.0014045043928768062)	(26, 0.0015728345073788954)	(28, 0.0018082336518779104)	(30, 0.0022067025948008245)	(32, 0.002740624676737138)	(34, 0.0033863284753349963)	(36, 0.003912360083154025)	(38, 0.004592255936260118)	(40, 0.005322124792109021)	(42, 0.006293968187554675)	(44, 0.007460443277893372)	(46, 0.00880971435194918)	(48, 0.010391754412464909)	(50, 0.012294673753750244)	(52, 0.014672336621092252)	(54, 0.017318275608421967)	(56, 0.020774303271792985)	(58, 0.024737951436709364)	(60, 0.02933678276806722)	(62, 0.03492718368016394)	(64, 0.04191551359003974)	(66, 0.05036621136965243)	(68, 0.060242454806454696)	(70, 0.0715271478731924)	(72, 0.08587465997645641)	(74, 0.1047776058034332)	(76, 0.1278112148308089)	(78, 0.15495050055721216)	(80, 0.18994869850443163)	(82, 0.23313852366441298)	(84, 0.2839715880860048)	(86, 0.3464667732529445)	(88, 0.42328448402177676)
SRR4420295_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 6.265885193819807e-06)	(4, 1.2531770387639614e-05)	(5, 1.2531770387639614e-05)	(6, 1.8797655581459422e-05)	(7, 1.8797655581459422e-05)	(8, 1.8797655581459422e-05)	(9, 2.506354077527923e-05)	(10, 5.9525909341288165e-05)	(12, 6.265885193819807e-05)	(14, 6.892473713201788e-05)	(16, 7.83235649227476e-05)	(18, 8.458945011656739e-05)	(20, 0.00011278593348875652)	(22, 0.00012531770387639614)	(24, 0.00013784947426403576)	(26, 0.00015038124465167538)	(28, 0.00017231184283004469)	(30, 0.00023497069476824276)	(32, 0.0003320919152724498)	(34, 0.0004135484227921072)	(36, 0.0005576637822499628)	(38, 0.0007205767972892778)	(40, 0.0010244722291895385)	(42, 0.0015633383558580419)	(44, 0.0021022044825265455)	(46, 0.002735058887102346)	(48, 0.0035558898474927405)	(50, 0.004567830306294639)	(52, 0.00583353911544624)	(54, 0.0074971316344053995)	(56, 0.00976224913197126)	(58, 0.012509839789461245)	(60, 0.015683510640130977)	(62, 0.019859723121811876)	(64, 0.025455158599892967)	(66, 0.032335100542707114)	(68, 0.040446288926106855)	(70, 0.05066281473463005)	(72, 0.06425665266262212)	(74, 0.08271281750101836)	(76, 0.10552063960652246)	(78, 0.13295895087025938)	(80, 0.16723647582305065)	(82, 0.20910825363075153)	(84, 0.26197352701100923)	(86, 0.3278217145128616)	(88, 0.4074485835559237)
SRR4420295_2 - illumina_universal_adapter	(1, 6.265885193819807e-06)	(2, 3.1329425969099035e-05)	(3, 6.892473713201788e-05)	(4, 0.00030076248930335076)	(5, 0.00030076248930335076)	(6, 0.0003696872264353686)	(7, 0.0004511437339550261)	(8, 0.0006579179453510797)	(9, 0.0006829814861263589)	(10, 0.0007268426824830976)	(12, 0.0007769697640336561)	(14, 0.0009179521808946017)	(16, 0.0010839981385308266)	(18, 0.0012124487850041327)	(20, 0.0013377664888805287)	(22, 0.0014192229964001862)	(24, 0.001685523117137528)	(26, 0.0019204938119057708)	(28, 0.0026817988629548777)	(30, 0.004389252578270775)	(32, 0.006027781556454654)	(34, 0.007205767972892779)	(36, 0.007691374075413813)	(38, 0.008217708431694677)	(40, 0.008838031065882837)	(42, 0.009345567766582241)	(44, 0.009890699778444565)	(46, 0.010520421240423456)	(48, 0.011369448684186038)	(50, 0.012472244478298325)	(52, 0.013866403933923233)	(54, 0.01562398473078969)	(56, 0.017954894022890657)	(58, 0.02070875056557446)	(60, 0.023898086129228745)	(62, 0.028193350429592222)	(64, 0.03383578004662696)	(66, 0.04056534074478943)	(68, 0.04858254085028187)	(70, 0.05888052316632473)	(72, 0.07235844221823114)	(74, 0.09075194820468918)	(76, 0.11357543502317782)	(78, 0.1414147629393192)	(80, 0.1757925420552116)	(82, 0.21785229641872705)	(84, 0.2710590605420479)	(86, 0.3375463683336699)	(88, 0.4183073625968134)
SRR4420295_2 - polya	(1, 0.016736179352692705)	(2, 0.020401722191077293)	(3, 0.02302086220209397)	(4, 0.0266049485329589)	(5, 0.029430862755371635)	(6, 0.03225677697778437)	(7, 0.03456262272911006)	(8, 0.03731334632919695)	(9, 0.03972571212881758)	(10, 0.0551711191315834)	(12, 0.06046265917776422)	(14, 0.06415013261432718)	(16, 0.06756504004495897)	(18, 0.07101127690155987)	(20, 0.07412855478548522)	(22, 0.07852720619154674)	(24, 0.08290079405683295)	(26, 0.08633763208564313)	(28, 0.08955203119007268)	(30, 0.09188294048217366)	(32, 0.09435169924853865)	(34, 0.09802350797211706)	(36, 0.10312393851988638)	(38, 0.11225959913247566)	(40, 0.11521083105876478)	(42, 0.11741328970439247)	(44, 0.11990397906893582)	(46, 0.12253878379293706)	(48, 0.1252111838281012)	(50, 0.1275546248905898)	(52, 0.12917748915578914)	(54, 0.13121703478637747)	(56, 0.13458181513545872)	(58, 0.13679680555147403)	(60, 0.13908385364721826)	(62, 0.14198182554935992)	(64, 0.1440057064669637)	(66, 0.14553771539685267)	(68, 0.1476085904534101)	(70, 0.15020579986624844)	(72, 0.15324475418525102)	(74, 0.15587955890925226)	(76, 0.15914408509523237)	(78, 0.1615877803208221)	(80, 0.16588304462118558)	(82, 0.16971150047460948)	(84, 0.17200794739814446)	(86, 0.17432005903466397)	(88, 0.17832395967351478)
SRR4420296_1 - illumina_universal_adapter	(1, 0.0)	(2, 4.895727850797014e-06)	(3, 9.791455701594029e-06)	(4, 3.9165822806376115e-05)	(5, 4.406155065717313e-05)	(6, 5.3853006358767165e-05)	(7, 5.874873420956418e-05)	(8, 0.00010770601271753433)	(9, 0.00011260174056833134)	(10, 0.00014197610767311344)	(12, 0.00015666329122550446)	(14, 0.0001713504747778955)	(16, 0.000173798338703294)	(18, 0.0002007248418826776)	(20, 0.00027660862357003135)	(22, 0.00033046162992879846)	(24, 0.0003549402691827836)	(26, 0.0003720753166605731)	(28, 0.0003990018198399567)	(30, 0.00042103259516854325)	(32, 0.000487124921154303)	(34, 0.0005923830699464388)	(36, 0.0007368070415449508)	(38, 0.000979145570159403)	(40, 0.0012508584658786372)	(42, 0.0017012654281519627)	(44, 0.002300992089874597)	(46, 0.003192014558719654)	(48, 0.0042690746858949965)	(50, 0.005698627218327725)	(52, 0.007536973026302005)	(54, 0.009779216381967038)	(56, 0.012481658155606989)	(58, 0.015994342888553847)	(60, 0.020586535612601445)	(62, 0.02592532683389559)	(64, 0.03305840231250684)	(66, 0.041190206272680684)	(68, 0.05227413412688513)	(70, 0.0662367499573582)	(72, 0.08417224893875308)	(74, 0.10754200583453262)	(76, 0.13454439279560354)	(78, 0.1682612705040426)	(80, 0.21167658508491052)	(82, 0.2666017558430022)	(84, 0.3333794837278735)	(86, 0.423076561546251)	(88, 0.5301559210988833)
SRR4420296_1 - polya	(1, 0.010966430385785313)	(2, 0.01233233845615768)	(3, 0.013384919944079037)	(4, 0.014559894628270321)	(5, 0.015230609343829513)	(6, 0.016278295103900074)	(7, 0.017277023585462663)	(8, 0.018735950485000177)	(9, 0.020762781815230138)	(10, 0.028233662515546383)	(12, 0.0322946687677825)	(14, 0.03632630065291385)	(16, 0.039447327157796946)	(18, 0.042105707380779726)	(20, 0.04461966363216399)	(22, 0.04867577415654932)	(24, 0.05240631877885664)	(26, 0.05622743436640371)	(28, 0.06611680462501368)	(30, 0.06880455921510124)	(32, 0.07128669323545533)	(34, 0.07321805787259475)	(36, 0.07530608580095968)	(38, 0.07736473936221983)	(40, 0.07943563224310696)	(42, 0.08105367029779538)	(44, 0.08334731879589377)	(46, 0.08729572330756157)	(48, 0.08993941634699196)	(50, 0.09280341713970822)	(52, 0.0952782075682861)	(54, 0.09794637924697047)	(56, 0.09976269427961616)	(58, 0.10193639744537003)	(60, 0.10394119800027142)	(62, 0.10619568067556345)	(64, 0.10897400623089075)	(66, 0.11313537490406822)	(68, 0.11491007624998212)	(70, 0.11732122221649965)	(72, 0.11910081929026436)	(74, 0.12062339065186226)	(76, 0.12212148337420613)	(78, 0.12343109057429433)	(80, 0.1249487662080414)	(82, 0.1266084179494616)	(84, 0.12837577570359932)	(86, 0.1303707848027991)	(88, 0.13196923994608434)
