Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR4420293_1	(1, 0.01213472445798332)	(2, 0.0023978069839436776)	(3, 0.0)	(4, 0.0)	(5, 0.0012019386906856914)	(6, 0.0001881823202588709)	(7, 0.0009105596141558269)	(8, 0.004267489391676976)	(9, 0.00028530867910215907)	(10, 0.0001608655318341961)	(12, 0.0)	(14, 6.070397427705513e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 3.0351987138527564e-06)	(32, 5.1598378135496856e-05)	(34, 0.0011017771331285505)	(36, 0.003948793526722436)	(38, 0.00798257261743275)	(40, 0.008510697193643129)	(42, 0.01699104240014773)	(44, 0.019191561467690976)	(46, 0.024676165543622907)	(48, 0.027860088994454447)	(50, 0.02336799489795237)	(52, 0.022305675348103904)	(54, 0.014195624384689342)	(56, 0.01681500087474427)	(58, 0.011269692824535283)	(60, 0.01092368017115607)	(62, 0.01015273969783747)	(64, 0.006974886644433634)	(66, 0.007190385753117179)	(68, 0.0107931666264604)	(70, 0.0036240272643401905)	(72, 0.0072571601248219405)	(74, 0.007800460694601583)	(76, 0.001842365619308623)	(78, 0.0031171490791267807)	(80, 0.007515152015499424)	(82, 0.009211828096543116)	(84, 0.005363196127377821)	(86, 0.006410339683657022)	(88, 0.002935037156295615)	(90, 0.005360160928663967)	(92, 0.00930591925667255)	(94, 0.0021124983048415183)	(96, 0.007011309028999867)	(98, 0.002306751022528095)	(100, 0.0010198267678545262)
SRR4420293_2	(1, 0.0557262483863366)	(2, 0.0775189751517994)	(3, 0.06950605054722811)	(4, 0.06639193666681519)	(5, 0.058130125767707985)	(6, 0.05384442518374789)	(7, 0.048107899614566185)	(8, 0.05247858576251415)	(9, 0.04788329490974108)	(10, 0.04299055458301044)	(12, 0.04098428823315377)	(14, 0.048250553954117266)	(16, 0.05596906428344483)	(18, 0.05463964724677731)	(20, 0.05146482939208734)	(22, 0.04581632458560735)	(24, 0.046332308366962324)	(26, 0.04356420713992861)	(28, 0.04980457569560987)	(30, 0.055213299803695486)	(32, 0.061972687339445574)	(34, 0.05874323590790624)	(36, 0.062403685556812666)	(38, 0.061693449057771126)	(40, 0.062361192774818726)	(42, 0.05556538285450241)	(44, 0.0630380420880079)	(46, 0.05748969883908506)	(48, 0.05169550449434015)	(50, 0.06153258352593693)	(52, 0.05530739096382492)	(54, 0.06391824971502519)	(56, 0.0522570162564029)	(58, 0.053795862004326254)	(60, 0.059040685381863814)	(62, 0.056163317001131405)	(64, 0.06571205215491217)	(66, 0.06399716488158536)	(68, 0.06145366835937676)	(70, 0.058348660075105384)	(72, 0.06743300982566668)	(74, 0.061131937295708365)	(76, 0.07866931546434959)	(78, 0.0769787097807336)	(80, 0.07710618812671542)	(82, 0.06986420399546275)	(84, 0.06917521388741817)	(86, 0.07986518375760757)	(88, 0.07236520773567742)	(90, 0.07052284211636879)	(92, 0.06992794316845365)	(94, 0.07267176280577654)	(96, 0.06758476976135933)	(98, 0.0672326867105524)	(100, 0.06885651802246362)
SRR4420294_1	(1, 0.012022452396703897)	(2, 0.0025591437720395736)	(3, 0.0)	(4, 0.0)	(5, 0.0011993520658273849)	(6, 0.00020252216901032598)	(7, 0.0009626378423088222)	(8, 0.004279267129607797)	(9, 0.0002919475423395608)	(10, 0.0002288237494012774)	(12, 1.3150790195475714e-06)	(14, 5.2603160781902855e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 2.6301580390951427e-06)	(32, 5.786347686009313e-05)	(34, 0.00110992669249815)	(36, 0.004067539407460638)	(38, 0.008012776466103351)	(40, 0.008709768346463564)	(42, 0.01722885023509273)	(44, 0.019463169489304055)	(46, 0.02514694101178866)	(48, 0.028075621988321097)	(50, 0.023762162804205067)	(52, 0.023192733588740966)	(54, 0.014639459645603562)	(56, 0.0172170145239168)	(58, 0.011946177813570137)	(60, 0.011096636766942405)	(62, 0.010507481366185093)	(64, 0.00743940201358061)	(66, 0.007348661561231828)	(68, 0.011100582004001049)	(70, 0.0037571807588474113)	(72, 0.007670855921020983)	(74, 0.008352066853146626)	(76, 0.0019055494993244306)	(78, 0.0032193134398524545)	(80, 0.008035132809435661)	(82, 0.009742105376808408)	(84, 0.005541742988373465)	(86, 0.0065517236753859995)	(88, 0.002940516687708369)	(90, 0.005493085064650205)	(92, 0.009696077611124242)	(94, 0.0022343192542113237)	(96, 0.006955452934387104)	(98, 0.002388183499498389)	(100, 0.0009915695807388688)
SRR4420294_2	(1, 0.05431802382339289)	(2, 0.07653233862159045)	(3, 0.06831835506549633)	(4, 0.06497016388172822)	(5, 0.05726906114325764)	(6, 0.053373797087357726)	(7, 0.04691675910137915)	(8, 0.05101717548432848)	(9, 0.0462960418041527)	(10, 0.04191288343200064)	(12, 0.040130951360513686)	(14, 0.04701670510686477)	(16, 0.05457446423220466)	(18, 0.053204151893836094)	(20, 0.05017552491181803)	(22, 0.04458117876266267)	(24, 0.04511510084459898)	(26, 0.04230083174276718)	(28, 0.04889989826285689)	(30, 0.054613916602791086)	(32, 0.06182580994598996)	(34, 0.05832243943791524)	(36, 0.06195994800598382)	(38, 0.06150361558620081)	(40, 0.06202964719401984)	(42, 0.055335894984522696)	(44, 0.062482034376744204)	(46, 0.0569639628107226)	(48, 0.05128808176235528)	(50, 0.06115248948798161)	(52, 0.05495320698983436)	(54, 0.0638470863990346)	(56, 0.05176019513037285)	(58, 0.05313839794285871)	(60, 0.058605181427117965)	(62, 0.05569754171489828)	(64, 0.06541992090641348)	(66, 0.06427974739646573)	(68, 0.061957317847944726)	(70, 0.058659099666919415)	(72, 0.06782125519610735)	(74, 0.06134580610385511)	(76, 0.07856150554875235)	(78, 0.07657047591315733)	(80, 0.07686242345549689)	(82, 0.06946773412858091)	(84, 0.0687628517741034)	(86, 0.07974244650830607)	(88, 0.07194402792238898)	(90, 0.07007793079365097)	(92, 0.06942959683701402)	(94, 0.07214128977532111)	(96, 0.06732941564279656)	(98, 0.06687702846007218)	(100, 0.06788437898904563)
SRR4420295_1	(1, 0.011773598279187418)	(2, 0.002537683503497022)	(3, 0.0)	(4, 0.0)	(5, 0.0011278593348875653)	(6, 0.00013158358907021595)	(7, 0.0009837439754297097)	(8, 0.004404917291255324)	(9, 0.0002694330633342517)	(10, 0.00021617303918678333)	(12, 0.0)	(14, 1.2531770387639613e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 6.892473713201788e-05)	(34, 0.0010338710569802682)	(36, 0.0039819700406724876)	(38, 0.008064194244446092)	(40, 0.008819233410301379)	(42, 0.01720612074222919)	(44, 0.019183007520879338)	(46, 0.024806639482332617)	(48, 0.02802417152935909)	(50, 0.023565994213956293)	(52, 0.022814087990697916)	(54, 0.014477327740320664)	(56, 0.017074537153158972)	(58, 0.011889517155273083)	(60, 0.011147009759805437)	(62, 0.010507889470035817)	(64, 0.00714624206355149)	(66, 0.00747206809363012)	(68, 0.010893241409455735)	(70, 0.0036561440105938574)	(72, 0.007509663404793038)	(74, 0.00813625192417502)	(76, 0.0019674879508594194)	(78, 0.0031204108265222644)	(80, 0.007923211827585146)	(82, 0.009483417240846278)	(84, 0.005470117774204692)	(86, 0.006563514740526248)	(88, 0.00293243427070767)	(90, 0.0054544530612201415)	(92, 0.009502214896427736)	(94, 0.0021022044825265455)	(96, 0.007108646752388571)	(98, 0.002374770488457707)	(100, 0.0008960215827162324)
SRR4420295_2	(1, 0.053773826733361584)	(2, 0.07613050510491065)	(3, 0.0677342189451921)	(4, 0.06491457060797319)	(5, 0.05658720918538668)	(6, 0.05309711113242905)	(7, 0.04665578115318229)	(8, 0.05095417839614266)	(9, 0.04616704210806434)	(10, 0.041646205940723345)	(12, 0.03991682162722908)	(14, 0.046777965914461775)	(16, 0.0547262412828222)	(18, 0.05324435943448381)	(20, 0.05016780980431828)	(22, 0.04425281418135239)	(24, 0.0447948132506178)	(26, 0.041737061276033736)	(28, 0.0484008301796611)	(30, 0.05383335264270287)	(32, 0.061026588845208014)	(34, 0.057279589499303764)	(36, 0.060540982742686975)	(38, 0.06024648613857745)	(40, 0.06130228779373608)	(42, 0.0546322530049149)	(44, 0.061747165642497284)	(46, 0.05625511727011422)	(48, 0.05031505810637305)	(50, 0.060049110754972115)	(52, 0.0538427514704936)	(54, 0.06274657433091155)	(56, 0.050982374879514854)	(58, 0.0522606154590541)	(60, 0.05736731189201724)	(62, 0.054315825802627005)	(64, 0.06430991268676958)	(66, 0.06266511782339189)	(68, 0.06032480970350019)	(70, 0.057370444834614155)	(72, 0.06632752771917957)	(74, 0.059995850730824654)	(76, 0.0775340633883263)	(78, 0.07527834471855116)	(80, 0.07580154613223512)	(82, 0.06894980067279316)	(84, 0.06726741049825254)	(86, 0.07884676633643155)	(88, 0.07123058288334357)	(90, 0.06892160418942096)	(92, 0.06839840277573701)	(94, 0.07139662884097979)	(96, 0.06631812889138884)	(98, 0.0661113546799928)	(100, 0.06752117884860225)
SRR4420296_1	(1, 0.012112030702871814)	(2, 0.002599631488773215)	(3, 0.0)	(4, 0.0)	(5, 0.0011260174056833133)	(6, 0.00012239319626992535)	(7, 0.0010525814879213582)	(8, 0.0042494917744918086)	(9, 0.00023009920898745968)	(10, 0.00020562056973347462)	(12, 0.0)	(14, 4.895727850797014e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 7.343591776195522e-06)	(32, 5.385300635876716e-05)	(34, 0.0010868515828769373)	(36, 0.004112411394669492)	(38, 0.008210135605786593)	(40, 0.008900433232748972)	(42, 0.017673577541377224)	(44, 0.019830145659653308)	(46, 0.025558147245085816)	(48, 0.02897291742101673)	(50, 0.02430484091528178)	(52, 0.023066221769030136)	(54, 0.014780202381556187)	(56, 0.017570767256510487)	(58, 0.01187458790210816)	(60, 0.011076584262428246)	(62, 0.010802423502783614)	(64, 0.0073068738173145435)	(66, 0.007696084181452908)	(68, 0.011221008234026757)	(70, 0.003735440350158122)	(72, 0.007759728643513269)	(74, 0.008369246760937497)	(76, 0.001916677453587031)	(78, 0.0030720692263751263)	(80, 0.008312945890653331)	(82, 0.00988692239468457)	(84, 0.005507693832146642)	(86, 0.006528453089037819)	(88, 0.0028615529287908553)	(90, 0.0053216561738163555)	(92, 0.00931412223614132)	(94, 0.002141880934723694)	(96, 0.007174689165343025)	(98, 0.002369532279785755)	(100, 0.0009644583866070119)
SRR4420296_2	(1, 0.05518464433418395)	(2, 0.07685803152966234)	(3, 0.06839821380348508)	(4, 0.06537754971954333)	(5, 0.05715762265805515)	(6, 0.0542887261374881)	(7, 0.04785573974154082)	(8, 0.05220314607304857)	(9, 0.04718502502598163)	(10, 0.04281314005521989)	(12, 0.04106536521248536)	(14, 0.04812255690940925)	(16, 0.05579416245160818)	(18, 0.05433523555207067)	(20, 0.05110160730661924)	(22, 0.04551802969278525)	(24, 0.045831356275236254)	(26, 0.04332719147955358)	(28, 0.04946153847660224)	(30, 0.05533885976148406)	(32, 0.061842834211267884)	(34, 0.05868264188357841)	(36, 0.06228344971783962)	(38, 0.06137284433759138)	(40, 0.0627975011421733)	(42, 0.055892077008624114)	(44, 0.06310837986069892)	(46, 0.057390169730968006)	(48, 0.05171112542404347)	(50, 0.061282273372351634)	(52, 0.05532172471400627)	(54, 0.06393086213963281)	(56, 0.052234968304078755)	(58, 0.05351275327313677)	(60, 0.05876586925704196)	(62, 0.056051188163775016)	(64, 0.06539958049487192)	(66, 0.06391617495608043)	(68, 0.061673931600415385)	(70, 0.05842561617141157)	(72, 0.06749984774286384)	(74, 0.061164775903932496)	(76, 0.07795467456824086)	(78, 0.07603799711465384)	(80, 0.07651777844403193)	(82, 0.06940428587682387)	(84, 0.06843003603451527)	(86, 0.07987624774967869)	(88, 0.07187418057755098)	(90, 0.06988161934227659)	(92, 0.06948506538636202)	(94, 0.07206021823588125)	(96, 0.06715714679330805)	(98, 0.06683892448300624)	(100, 0.06825623769581199)
SRR4420297_1	(1, 0.01214332554835715)	(2, 0.0026292572877762875)	(3, 0.0)	(4, 0.0)	(5, 0.0011857434827226396)	(6, 0.00021558972413138902)	(7, 0.0009326598935249221)	(8, 0.004522697473625878)	(9, 0.00033744478559695674)	(10, 0.0002015295247315158)	(12, 0.0)	(14, 7.030099699936597e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 2.3433665666455326e-06)	(28, 0.0)	(30, 0.0)	(32, 2.8120398799746388e-05)	(34, 0.0010498282218571987)	(36, 0.003800940571099054)	(38, 0.00776357343529665)	(40, 0.008464240038723665)	(42, 0.01678553471688195)	(44, 0.01941010527152495)	(46, 0.02459597548351151)	(48, 0.02746894289421893)	(50, 0.023377424868855835)	(52, 0.022564276670229835)	(54, 0.01423126515923832)	(56, 0.016626185790350054)	(58, 0.011454375777763363)	(60, 0.01075370917433635)	(62, 0.00998742830704326)	(64, 0.006980889002037041)	(66, 0.0071402379285689386)	(68, 0.010563896482438061)	(70, 0.003503333017135071)	(72, 0.007388634784633365)	(74, 0.007967446326594812)	(76, 0.001769241757817377)	(78, 0.003067466835739002)	(80, 0.007826844332596079)	(82, 0.009193027040950425)	(84, 0.005389743103284725)	(86, 0.006350523395609393)	(88, 0.0027417388829752733)	(90, 0.0052913217074856125)	(92, 0.009094605645151313)	(94, 0.0022097946723467375)	(96, 0.006549709553774263)	(98, 0.0023597701326120513)	(100, 0.0008951660284585935)
SRR4420297_2	(1, 0.05453014000584154)	(2, 0.0774201446288351)	(3, 0.0682435211538512)	(4, 0.06545022820640972)	(5, 0.057342179885816184)	(6, 0.053672467842449285)	(7, 0.04735943831190622)	(8, 0.05168997972706716)	(9, 0.046956379262443185)	(10, 0.04220403186528604)	(12, 0.04050040437133474)	(14, 0.047474263273671845)	(16, 0.05516987907853577)	(18, 0.05373808210631535)	(20, 0.05066592853744306)	(22, 0.04505122224376036)	(24, 0.04569564804958789)	(26, 0.04306873412837824)	(28, 0.04936301672638815)	(30, 0.05508083114900324)	(32, 0.06161648050337764)	(34, 0.058518549902272246)	(36, 0.06188362429197522)	(38, 0.061740678931409845)	(40, 0.06197735895464105)	(42, 0.05528001730716811)	(44, 0.062373387904404144)	(46, 0.05715002382735125)	(48, 0.051054927387506215)	(50, 0.060810362404451576)	(52, 0.054874614891138436)	(54, 0.0639926542019562)	(56, 0.05166888942796735)	(58, 0.05306319253512144)	(60, 0.05820453878234174)	(62, 0.05521674640986869)	(64, 0.06548537870490942)	(66, 0.0638942328061571)	(68, 0.06147119177624561)	(70, 0.05812486431907579)	(72, 0.0674350596883585)	(74, 0.061199361254514736)	(76, 0.07860588811155775)	(78, 0.07649685820157677)	(80, 0.0769256942832729)	(82, 0.06971046862457131)	(84, 0.0686911041680805)	(86, 0.08006346211601126)	(88, 0.07228817184788139)	(90, 0.07027287660056623)	(92, 0.06954174623177282)	(94, 0.07244283404128)	(96, 0.06741865612239198)	(98, 0.06725930719586007)	(100, 0.0683513160159169)
