Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR4420293_1	(1, 33.106827582380454)	(2, 33.275734873207)	(3, 33.34895005799051)	(4, 36.625089219666194)	(5, 36.53714961817807)	(6, 36.50074058848618)	(7, 36.46486065463409)	(8, 36.48997686328725)	(9, 38.4182657408744)	(10, 38.41552243722086)	(12, 38.39657985310367)	(14, 40.032668177629056)	(16, 40.03322932516727)	(18, 40.004886669929306)	(20, 39.95681965444142)	(22, 39.914032063596395)	(24, 39.820559264500936)	(26, 39.678352525704184)	(28, 39.559398049678435)	(30, 39.4734065904848)	(32, 39.34869182328393)	(34, 39.22205292221041)	(36, 38.97131303181993)	(38, 38.84551597346167)	(40, 38.657275316683524)	(42, 38.379787312699406)	(44, 38.095918501515115)	(46, 37.84064469198986)	(48, 37.5566842178044)	(50, 37.22478496527672)	(52, 36.80410675740859)	(54, 36.47744568117326)	(56, 36.13846455124648)	(58, 35.80633052609828)	(60, 35.43263103286719)	(62, 35.05494337958207)	(64, 34.84970415311096)	(66, 34.545823062726754)	(68, 34.29879452226761)	(70, 34.00499639236281)	(72, 33.79122840926571)	(74, 33.53898136060188)	(76, 33.33385285817985)	(78, 33.21757567023562)	(80, 32.96848717076137)	(82, 32.782589080350576)	(84, 32.72326861035127)	(86, 32.63532736985584)	(88, 32.59495679880263)	(90, 32.476535789302815)	(92, 32.364761834634365)	(94, 32.25596322456112)	(96, 32.10175667588922)	(98, 31.880353771835374)	(100, 31.758492091425527)
SRR4420293_2	(1, 31.77536597515532)	(2, 31.85925911042211)	(3, 31.957478869250075)	(4, 35.23114045891962)	(5, 35.21140553617817)	(6, 35.17662986832215)	(7, 35.199104240014776)	(8, 35.172033059870024)	(9, 36.87081690430856)	(10, 36.820591012679486)	(12, 36.80189965195983)	(14, 38.28554985599196)	(16, 38.260933332103065)	(18, 38.259640732026796)	(20, 38.27082282901645)	(22, 38.12385686828439)	(24, 38.12888686029697)	(26, 38.03976344025448)	(28, 38.01982015112133)	(30, 38.00369389753874)	(32, 37.90714695812992)	(34, 37.81556733388024)	(36, 37.71591735906632)	(38, 37.582377569493005)	(40, 37.37413971845254)	(42, 37.18375029274492)	(44, 37.002991461500386)	(46, 36.78586011400449)	(48, 36.50601357850778)	(50, 36.23774052887488)	(52, 35.913595177093526)	(54, 35.49334933328218)	(56, 35.09855748538885)	(58, 34.735752898645124)	(60, 34.3342947527606)	(62, 33.994978536895815)	(64, 33.66329748480367)	(66, 33.32585799300763)	(68, 33.02729217296311)	(70, 32.781220053970685)	(72, 32.58652604874311)	(74, 32.39570383405088)	(76, 32.169012551517945)	(78, 32.046295552110536)	(80, 31.871256917066106)	(82, 31.77915526898963)	(84, 31.669728403134606)	(86, 31.63303898178553)	(88, 31.580576452224214)	(90, 31.50235552666586)	(92, 31.424230058107057)	(94, 31.349718995232674)	(96, 31.28152466651361)	(98, 31.159506673370004)	(100, 31.023724266522983)
SRR4420294_1	(1, 33.097513451219996)	(2, 33.277597426379835)	(3, 33.342924134485344)	(4, 36.6233586597388)	(5, 36.53027852400476)	(6, 36.48513980434097)	(7, 36.447992688371066)	(8, 36.468529251657706)	(9, 38.40340498681646)	(10, 38.40599924319832)	(12, 38.39203157851907)	(14, 40.020770068717354)	(16, 40.02059274346235)	(18, 39.99394194383776)	(20, 39.92104581185601)	(22, 39.870595317071995)	(24, 39.785911040322446)	(26, 39.62882194511286)	(28, 39.49882846185544)	(30, 39.4008599538423)	(32, 39.2788396500217)	(34, 39.12899953338366)	(36, 38.83870726785521)	(38, 38.682179395768)	(40, 38.45409063087996)	(42, 38.13203839168045)	(44, 37.81412402231437)	(46, 37.505255844809525)	(48, 37.173135163374496)	(50, 36.7949915688969)	(52, 36.321234457311206)	(54, 35.95037896500598)	(56, 35.54426320580653)	(58, 35.171348878391456)	(60, 34.77291965085494)	(62, 34.38224323496394)	(64, 34.169821953292654)	(66, 33.876945425982896)	(68, 33.634344777264936)	(70, 33.385609916158714)	(72, 33.20244601278431)	(74, 32.99217184747745)	(76, 32.849702064902885)	(78, 32.78973073993789)	(80, 32.5459204157838)	(82, 32.42690547519736)	(84, 32.381521598502744)	(86, 32.3028059656929)	(88, 32.2955807900516)	(90, 32.15483761417417)	(92, 32.04391033065321)	(94, 31.939192942318083)	(96, 31.77807732501565)	(98, 31.53031663499474)	(100, 31.398473808715288)
SRR4420294_2	(1, 32.0363612510494)	(2, 32.15579804268373)	(3, 32.22126817330711)	(4, 35.50848361420747)	(5, 35.46114024347215)	(6, 35.437922102556755)	(7, 35.464546114021715)	(8, 35.432276257913195)	(9, 37.15696925205854)	(10, 37.102179930216124)	(12, 37.08044087182479)	(14, 38.585781920604)	(16, 38.57810252982014)	(18, 38.590199770760684)	(20, 38.60441762922341)	(22, 38.45919416323744)	(24, 38.47253766511244)	(26, 38.388948757130656)	(28, 38.36889544593133)	(30, 38.35008683072242)	(32, 38.25482572848999)	(34, 38.16326640273732)	(36, 38.0635704200749)	(38, 37.91622570532883)	(40, 37.697861791980856)	(42, 37.47548761091672)	(44, 37.2755747953954)	(46, 37.038948918885374)	(48, 36.72340240189715)	(50, 36.4259981627294)	(52, 36.07305616394764)	(54, 35.60938255225223)	(56, 35.183515318790015)	(58, 34.77506501816427)	(60, 34.36817303357352)	(62, 34.0166622747411)	(64, 33.661934056730246)	(66, 33.356795009348765)	(68, 33.02698351461654)	(70, 32.78538333856428)	(72, 32.61499684815011)	(74, 32.46161598645826)	(76, 32.27541565768325)	(78, 32.20148614975872)	(80, 32.07825989217562)	(82, 32.04323893021058)	(84, 31.95875767536007)	(86, 31.958256880118633)	(88, 31.939879400415496)	(90, 31.876229128742526)	(92, 31.815904823417895)	(94, 31.76019076431051)	(96, 31.704470879403072)	(98, 31.59337270136352)	(100, 31.46666231287839)
SRR4420295_1	(1, 33.06177373299572)	(2, 33.22851031649801)	(3, 33.30239594291453)	(4, 36.59194982880662)	(5, 36.500957521245894)	(6, 36.46015952818386)	(7, 36.42653829204627)	(8, 36.45552308643469)	(9, 38.37447022723922)	(10, 38.37187897041731)	(12, 38.34986534926013)	(14, 39.963703544178905)	(16, 39.96688655119851)	(18, 39.94198780320384)	(20, 39.89625777525862)	(22, 39.851452372662024)	(24, 39.75375068055345)	(26, 39.59684028954155)	(28, 39.47581753667125)	(30, 39.377227373371625)	(32, 39.25017605570923)	(34, 39.11594694725133)	(36, 38.846477416465255)	(38, 38.714073654352596)	(40, 38.52172269610764)	(42, 38.23139957881973)	(44, 37.933852428503585)	(46, 37.676484483757164)	(48, 37.40117057387425)	(50, 37.06945689876153)	(52, 36.64729329111046)	(54, 36.329386368704604)	(56, 35.99525697554368)	(58, 35.66490440734219)	(60, 35.29538028189842)	(62, 34.91301685642169)	(64, 34.7138087327266)	(66, 34.40601241134007)	(68, 34.16009214485449)	(70, 33.85580215016357)	(72, 33.636701282131696)	(74, 33.37112242743901)	(76, 33.16525896245588)	(78, 33.041979676350735)	(80, 32.788580449297804)	(82, 32.59460515430463)	(84, 32.522046047113065)	(86, 32.43135055453398)	(88, 32.386890182905574)	(90, 32.2652442250939)	(92, 32.137696931288986)	(94, 32.020847727899174)	(96, 31.858272851354343)	(98, 31.622822127121403)	(100, 31.48908642579309)
SRR4420295_2	(1, 31.519311990767594)	(2, 31.590452595539553)	(3, 31.661473271268903)	(4, 34.97572007082706)	(5, 34.93740706517404)	(6, 34.89482072581884)	(7, 34.93004201839952)	(8, 34.90207386388379)	(9, 36.57300454896999)	(10, 36.51471787507291)	(12, 36.50478497455769)	(14, 37.94918329512501)	(16, 37.92165776273937)	(18, 37.924201022880695)	(20, 37.93204456397804)	(22, 37.770304334670456)	(24, 37.78571856889438)	(26, 37.69815833728972)	(28, 37.66676985535267)	(30, 37.652951072146216)	(32, 37.550299205416835)	(34, 37.451221963531665)	(36, 37.34836579761554)	(38, 37.21118674173782)	(40, 36.99228146331227)	(42, 36.78817341739561)	(44, 36.59531633227412)	(46, 36.36857901065056)	(48, 36.08460276512261)	(50, 35.818392152555255)	(52, 35.49735739424894)	(54, 35.07426082762193)	(56, 34.69645849662491)	(58, 34.35571029228663)	(60, 33.97124995700037)	(62, 33.650444373445005)	(64, 33.33662465662166)	(66, 33.018381130863204)	(68, 32.7122109633316)	(70, 32.45257078930791)	(72, 32.24756098852359)	(74, 32.04735781093029)	(76, 31.807750893718868)	(78, 31.683700465122925)	(80, 31.501444913125695)	(82, 31.39909221108489)	(84, 31.283668872529773)	(86, 31.244509001163387)	(88, 31.190925782657622)	(90, 31.107149080509544)	(92, 31.021610474103817)	(94, 30.944850811466594)	(96, 30.865713496033727)	(98, 30.72869208982748)	(100, 30.579934492676653)
SRR4420296_1	(1, 33.10176671151806)	(2, 33.3152883495581)	(3, 33.376961448884785)	(4, 36.64511813685048)	(5, 36.5590600535436)	(6, 36.52694701627908)	(7, 36.508652219830715)	(8, 36.5364677871878)	(9, 38.45987574055227)	(10, 38.451631922338876)	(12, 38.42685187759976)	(14, 40.090250564330546)	(16, 40.105025112146436)	(18, 40.08594423315571)	(20, 40.06787684326601)	(22, 40.03508689819021)	(24, 39.96361727608361)	(26, 39.847879038510385)	(28, 39.77139435518662)	(30, 39.716336901862)	(32, 39.62529548165443)	(34, 39.55866533548563)	(36, 39.37461034902036)	(38, 39.31243986822267)	(40, 39.22124579922072)	(42, 39.05045260514408)	(44, 38.89087542565906)	(46, 38.75960152593962)	(48, 38.63800985823343)	(50, 38.460897062817864)	(52, 38.15547279708403)	(54, 37.97919029263332)	(56, 37.76498778124243)	(58, 37.50038514691002)	(60, 37.19103203509728)	(62, 36.845530851604025)	(64, 36.624079970343644)	(66, 36.25606994369717)	(68, 35.977593110379274)	(70, 35.54229737512614)	(72, 35.22325835950426)	(74, 34.8263827542699)	(76, 34.449186457320124)	(78, 34.179610302021366)	(80, 33.86467278032106)	(82, 33.54682763689287)	(84, 33.400161813596924)	(86, 33.26076888776701)	(88, 33.17019525435558)	(90, 33.03502910412293)	(92, 32.90287649469019)	(94, 32.773969018463355)	(96, 32.639793714590425)	(98, 32.4248934395876)	(100, 32.321296974263944)
SRR4420296_2	(1, 31.692259932599537)	(2, 31.8349076851765)	(3, 31.917044926919512)	(4, 35.210042782786545)	(5, 35.169286582787834)	(6, 35.13835826270593)	(7, 35.15714473710235)	(8, 35.114919818748405)	(9, 36.79553888549343)	(10, 36.73779340831369)	(12, 36.73303875086091)	(14, 38.18608820672034)	(16, 38.14178360765402)	(18, 38.12400937394803)	(20, 38.147209371480585)	(22, 37.985646876437514)	(24, 37.99601321298198)	(26, 37.92171288103205)	(28, 37.8989124238494)	(30, 37.90054967763591)	(32, 37.800296700690666)	(34, 37.718382851009494)	(36, 37.63767273841363)	(38, 37.5535639870651)	(40, 37.410551013190464)	(42, 37.29371402741569)	(44, 37.1548711366098)	(46, 37.01023212016544)	(48, 36.81602870600234)	(50, 36.63956197531261)	(52, 36.423268841257595)	(54, 36.091748950796564)	(56, 35.805471852208555)	(58, 35.5498810289175)	(60, 35.227955198411124)	(62, 34.95541291743668)	(64, 34.65433799184685)	(66, 34.28967426862232)	(68, 33.964753182859546)	(70, 33.63897869829646)	(72, 33.34085614138705)	(74, 33.00575999516694)	(76, 32.61377852667183)	(78, 32.356356407420904)	(80, 32.03830020916508)	(82, 31.80305392565896)	(84, 31.592972417665116)	(86, 31.45545697898734)	(88, 31.325416288634884)	(90, 31.19862582304529)	(92, 31.060905449199677)	(94, 30.949948575274654)	(96, 30.862043358328307)	(98, 30.693609439981607)	(100, 30.52529451230032)
SRR4420297_1	(1, 33.109349592048)	(2, 33.300148700668856)	(3, 33.362698169137076)	(4, 36.63788818804523)	(5, 36.55330034123167)	(6, 36.51255880444062)	(7, 36.476350697742085)	(8, 36.4989589359691)	(9, 38.432080097769)	(10, 38.428342849901185)	(12, 38.41024582665162)	(14, 40.050747149622644)	(16, 40.055653339034905)	(18, 40.0321885768941)	(20, 39.97564616458382)	(22, 39.9251562463092)	(24, 39.83470065648008)	(26, 39.69488598678041)	(28, 39.57749527296096)	(30, 39.48924104168455)	(32, 39.374768194179225)	(34, 39.24374100850248)	(36, 38.98084569662289)	(38, 38.84489132496945)	(40, 38.65260471755309)	(42, 38.367478238560714)	(44, 38.07027739929804)	(46, 37.800286560923965)	(48, 37.502539412613615)	(50, 37.170011103808136)	(52, 36.739807128746065)	(54, 36.42097621932861)	(56, 36.07208629081816)	(58, 35.72592329111399)	(60, 35.35756725087108)	(62, 34.98461200223613)	(64, 34.77291282901335)	(66, 34.470809104485284)	(68, 34.22667096565075)	(70, 33.93666726125687)	(72, 33.72500166847699)	(74, 33.474476168524426)	(76, 33.273321676178234)	(78, 33.15989120498908)	(80, 32.916696880472934)	(82, 32.74808371199012)	(84, 32.6752350068595)	(86, 32.574093735787486)	(88, 32.541599091786104)	(90, 32.4136050426249)	(92, 32.29490776134255)	(94, 32.18503862149306)	(96, 32.035029744820505)	(98, 31.79651985693841)	(100, 31.667940973783164)
SRR4420297_2	(1, 32.03194088304801)	(2, 32.14507796474302)	(3, 32.197298388926114)	(4, 35.501316503337144)	(5, 35.474239090128876)	(6, 35.444052685629316)	(7, 35.472217467791836)	(8, 35.44122686675393)	(9, 37.15950527594922)	(10, 37.103977588229625)	(12, 37.087650041074525)	(14, 38.58758995715576)	(16, 38.57077142783762)	(18, 38.57478852054082)	(20, 38.585104652876176)	(22, 38.437196065356304)	(24, 38.451794348587214)	(26, 38.370460500588095)	(28, 38.344585984305816)	(30, 38.32579883960237)	(32, 38.228630863712425)	(34, 38.13235153929188)	(36, 38.02776355093897)	(38, 37.89500581248643)	(40, 37.68805774467653)	(42, 37.47599980203239)	(44, 37.28500047617209)	(46, 37.067041795911145)	(48, 36.783554431531144)	(50, 36.515366227888464)	(52, 36.18853991578128)	(54, 35.763106496074585)	(56, 35.373890181594035)	(58, 35.00987555598715)	(60, 34.624336897562635)	(62, 34.288990948231096)	(64, 33.95302217893347)	(66, 33.63753084807749)	(68, 33.31392713367275)	(70, 33.049262978407654)	(72, 32.848359085682105)	(74, 32.65365100729143)	(76, 32.42736737670049)	(78, 32.31380923890079)	(80, 32.148323082198175)	(82, 32.063612185206196)	(84, 31.95485518369557)	(86, 31.923358602948593)	(88, 31.877977950232893)	(90, 31.80157105387381)	(92, 31.72212150693093)	(94, 31.6562507850278)	(96, 31.592170043676603)	(98, 31.472409155176983)	(100, 31.334059698856773)
