Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR4420293_1	(2.0, 26.0)	(3.0, 32.0)	(4.0, 40.0)	(5.0, 144.0)	(6.0, 489.0)	(7.0, 1183.0)	(8.0, 3806.0)	(9.0, 7162.0)	(10.0, 11037.0)	(11.0, 14456.0)	(12.0, 18751.0)	(13.0, 20581.0)	(14.0, 22625.0)	(15.0, 23832.0)	(16.0, 28356.0)	(17.0, 28446.0)	(18.0, 28924.0)	(19.0, 29806.0)	(20.0, 32583.0)	(21.0, 35849.0)	(22.0, 38984.0)	(23.0, 46200.0)	(24.0, 56063.0)	(25.0, 70992.0)	(26.0, 93192.0)	(27.0, 122729.0)	(28.0, 132075.0)	(29.0, 169537.0)	(30.0, 196184.0)	(31.0, 246402.0)	(32.0, 320112.0)	(33.0, 428222.0)	(34.0, 620448.0)	(35.0, 1032841.0)	(36.0, 2860025.0)	(37.0, 5575946.0)	(38.0, 3401706.0)	(39.0, 752844.0)	(40.0, 756.0)
SRR4420293_2	(2.0, 336524.0)	(3.0, 53211.0)	(4.0, 40225.0)	(5.0, 30556.0)	(6.0, 28196.0)	(7.0, 26552.0)	(8.0, 26685.0)	(9.0, 27458.0)	(10.0, 29714.0)	(11.0, 32381.0)	(12.0, 34756.0)	(13.0, 37343.0)	(14.0, 39236.0)	(15.0, 39691.0)	(16.0, 39072.0)	(17.0, 38621.0)	(18.0, 38120.0)	(19.0, 37060.0)	(20.0, 37077.0)	(21.0, 38025.0)	(22.0, 43869.0)	(23.0, 53415.0)	(24.0, 64798.0)	(25.0, 76853.0)	(26.0, 90987.0)	(27.0, 106242.0)	(28.0, 124665.0)	(29.0, 148499.0)	(30.0, 177051.0)	(31.0, 216651.0)	(32.0, 281059.0)	(33.0, 373535.0)	(34.0, 523985.0)	(35.0, 890601.0)	(36.0, 2409523.0)	(37.0, 5562473.0)	(38.0, 3777391.0)	(39.0, 540836.0)	(40.0, 450.0)
SRR4420294_1	(2.0, 50.0)	(3.0, 83.0)	(4.0, 98.0)	(5.0, 289.0)	(6.0, 1229.0)	(7.0, 2757.0)	(8.0, 9480.0)	(9.0, 18355.0)	(10.0, 27664.0)	(11.0, 37277.0)	(12.0, 49594.0)	(13.0, 53168.0)	(14.0, 57796.0)	(15.0, 59284.0)	(16.0, 72544.0)	(17.0, 73157.0)	(18.0, 74427.0)	(19.0, 74170.0)	(20.0, 82178.0)	(21.0, 90072.0)	(22.0, 97516.0)	(23.0, 117274.0)	(24.0, 145117.0)	(25.0, 185050.0)	(26.0, 247920.0)	(27.0, 324730.0)	(28.0, 338134.0)	(29.0, 434071.0)	(30.0, 491859.0)	(31.0, 615350.0)	(32.0, 801132.0)	(33.0, 1080556.0)	(34.0, 1543513.0)	(35.0, 2595680.0)	(36.0, 7657667.0)	(37.0, 14278336.0)	(38.0, 5638762.0)	(39.0, 643978.0)	(40.0, 212.0)
SRR4420294_2	(2.0, 543571.0)	(3.0, 105396.0)	(4.0, 80545.0)	(5.0, 64659.0)	(6.0, 59012.0)	(7.0, 56564.0)	(8.0, 57645.0)	(9.0, 60813.0)	(10.0, 62928.0)	(11.0, 69576.0)	(12.0, 75252.0)	(13.0, 80647.0)	(14.0, 85066.0)	(15.0, 85478.0)	(16.0, 83693.0)	(17.0, 81444.0)	(18.0, 80630.0)	(19.0, 78949.0)	(20.0, 78203.0)	(21.0, 80207.0)	(22.0, 92848.0)	(23.0, 116509.0)	(24.0, 142674.0)	(25.0, 171740.0)	(26.0, 203125.0)	(27.0, 237117.0)	(28.0, 278163.0)	(29.0, 333980.0)	(30.0, 390777.0)	(31.0, 475892.0)	(32.0, 621428.0)	(33.0, 849525.0)	(34.0, 1232270.0)	(35.0, 2149797.0)	(36.0, 6055785.0)	(37.0, 14415265.0)	(38.0, 7908764.0)	(39.0, 374436.0)	(40.0, 156.0)
SRR4420295_1	(2.0, 38.0)	(3.0, 40.0)	(4.0, 41.0)	(5.0, 145.0)	(6.0, 483.0)	(7.0, 1231.0)	(8.0, 3915.0)	(9.0, 7514.0)	(10.0, 11376.0)	(11.0, 15373.0)	(12.0, 19829.0)	(13.0, 21807.0)	(14.0, 24161.0)	(15.0, 25303.0)	(16.0, 30403.0)	(17.0, 30878.0)	(18.0, 31170.0)	(19.0, 31655.0)	(20.0, 34985.0)	(21.0, 38943.0)	(22.0, 41660.0)	(23.0, 49334.0)	(24.0, 59713.0)	(25.0, 76471.0)	(26.0, 99900.0)	(27.0, 129871.0)	(28.0, 140280.0)	(29.0, 179951.0)	(30.0, 206765.0)	(31.0, 257835.0)	(32.0, 328976.0)	(33.0, 438856.0)	(34.0, 636912.0)	(35.0, 1057916.0)	(36.0, 2811003.0)	(37.0, 5159988.0)	(38.0, 3227604.0)	(39.0, 726542.0)	(40.0, 570.0)
SRR4420295_2	(2.0, 409653.0)	(3.0, 58049.0)	(4.0, 43659.0)	(5.0, 32925.0)	(6.0, 29534.0)	(7.0, 27886.0)	(8.0, 28214.0)	(9.0, 29198.0)	(10.0, 31212.0)	(11.0, 34024.0)	(12.0, 36021.0)	(13.0, 39350.0)	(14.0, 40930.0)	(15.0, 41386.0)	(16.0, 40732.0)	(17.0, 40323.0)	(18.0, 39800.0)	(19.0, 38820.0)	(20.0, 38743.0)	(21.0, 40110.0)	(22.0, 45452.0)	(23.0, 55326.0)	(24.0, 67473.0)	(25.0, 80256.0)	(26.0, 94541.0)	(27.0, 110468.0)	(28.0, 129186.0)	(29.0, 154925.0)	(30.0, 184942.0)	(31.0, 226786.0)	(32.0, 291320.0)	(33.0, 385704.0)	(34.0, 537258.0)	(35.0, 903814.0)	(36.0, 2374881.0)	(37.0, 5166551.0)	(38.0, 3525347.0)	(39.0, 504263.0)	(40.0, 375.0)
SRR4420296_1	(2.0, 33.0)	(3.0, 14.0)	(4.0, 31.0)	(5.0, 96.0)	(6.0, 364.0)	(7.0, 884.0)	(8.0, 2856.0)	(9.0, 6383.0)	(10.0, 10952.0)	(11.0, 14266.0)	(12.0, 19192.0)	(13.0, 20723.0)	(14.0, 23125.0)	(15.0, 25235.0)	(16.0, 27612.0)	(17.0, 28839.0)	(18.0, 31448.0)	(19.0, 32773.0)	(20.0, 35886.0)	(21.0, 39153.0)	(22.0, 42757.0)	(23.0, 48845.0)	(24.0, 57083.0)	(25.0, 68812.0)	(26.0, 86072.0)	(27.0, 108370.0)	(28.0, 129299.0)	(29.0, 162293.0)	(30.0, 196813.0)	(31.0, 244419.0)	(32.0, 309146.0)	(33.0, 402707.0)	(34.0, 555851.0)	(35.0, 858525.0)	(36.0, 1896450.0)	(37.0, 4917937.0)	(38.0, 7499720.0)	(39.0, 2517395.0)	(40.0, 3613.0)
SRR4420296_2	(2.0, 387144.0)	(3.0, 69190.0)	(4.0, 53474.0)	(5.0, 40272.0)	(6.0, 35451.0)	(7.0, 33304.0)	(8.0, 33172.0)	(9.0, 34170.0)	(10.0, 37421.0)	(11.0, 41249.0)	(12.0, 44550.0)	(13.0, 49052.0)	(14.0, 52842.0)	(15.0, 54333.0)	(16.0, 55866.0)	(17.0, 55921.0)	(18.0, 56383.0)	(19.0, 55774.0)	(20.0, 56471.0)	(21.0, 58176.0)	(22.0, 65727.0)	(23.0, 77041.0)	(24.0, 91500.0)	(25.0, 106421.0)	(26.0, 125525.0)	(27.0, 146187.0)	(28.0, 170584.0)	(29.0, 205720.0)	(30.0, 251384.0)	(31.0, 309815.0)	(32.0, 388131.0)	(33.0, 487497.0)	(34.0, 632559.0)	(35.0, 943513.0)	(36.0, 1995122.0)	(37.0, 4868547.0)	(38.0, 6337913.0)	(39.0, 1916426.0)	(40.0, 2145.0)
SRR4420297_1	(2.0, 22.0)	(3.0, 41.0)	(4.0, 55.0)	(5.0, 144.0)	(6.0, 564.0)	(7.0, 1407.0)	(8.0, 4685.0)	(9.0, 9134.0)	(10.0, 14014.0)	(11.0, 18628.0)	(12.0, 25839.0)	(13.0, 26652.0)	(14.0, 29635.0)	(15.0, 30834.0)	(16.0, 37532.0)	(17.0, 37927.0)	(18.0, 38377.0)	(19.0, 38401.0)	(20.0, 42543.0)	(21.0, 47588.0)	(22.0, 51338.0)	(23.0, 60673.0)	(24.0, 73294.0)	(25.0, 92661.0)	(26.0, 122161.0)	(27.0, 159372.0)	(28.0, 173433.0)	(29.0, 221958.0)	(30.0, 255210.0)	(31.0, 322602.0)	(32.0, 418819.0)	(33.0, 564000.0)	(34.0, 804395.0)	(35.0, 1347057.0)	(36.0, 3785715.0)	(37.0, 7286156.0)	(38.0, 4269422.0)	(39.0, 923659.0)	(40.0, 877.0)
SRR4420297_2	(2.0, 303541.0)	(3.0, 59283.0)	(4.0, 45972.0)	(5.0, 36767.0)	(6.0, 33818.0)	(7.0, 32162.0)	(8.0, 32416.0)	(9.0, 34055.0)	(10.0, 36389.0)	(11.0, 39495.0)	(12.0, 43079.0)	(13.0, 45954.0)	(14.0, 48313.0)	(15.0, 48891.0)	(16.0, 48850.0)	(17.0, 47846.0)	(18.0, 47701.0)	(19.0, 46561.0)	(20.0, 46432.0)	(21.0, 47733.0)	(22.0, 54736.0)	(23.0, 67595.0)	(24.0, 81020.0)	(25.0, 97451.0)	(26.0, 115286.0)	(27.0, 135390.0)	(28.0, 157988.0)	(29.0, 189462.0)	(30.0, 227142.0)	(31.0, 277558.0)	(32.0, 359971.0)	(33.0, 481277.0)	(34.0, 682484.0)	(35.0, 1159152.0)	(36.0, 3178264.0)	(37.0, 7348892.0)	(38.0, 4960992.0)	(39.0, 636350.0)	(40.0, 556.0)
