Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR4420293_1	(1.0, 7.541895484032213)	(2.0, 2.4041502770821768)	(3.0, 1.3903797070066777)	(4.0, 0.9775310619635533)	(5.0, 0.7636315765563155)	(6.0, 0.6362335239964674)	(7.0, 0.5567381453268171)	(8.0, 0.4489465827837872)	(9.0, 0.4120128907683173)	('>10', 6.114750358107371)	('>50', 2.646085531667093)	('>100', 9.14491492199581)	('>500', 6.318552800712636)	('>1k', 27.126949427640064)	('>5k', 13.49998415744507)	('>10k+', 20.017243552915648)
SRR4420293_2	(1.0, 11.986424362327684)	(2.0, 2.5791146757462546)	(3.0, 1.4964927335505114)	(4.0, 1.067866048519492)	(5.0, 0.8004405629049666)	(6.0, 0.641012924239943)	(7.0, 0.5341726135250234)	(8.0, 0.46044838133284927)	(9.0, 0.3694205204764717)	('>10', 4.4321232721134765)	('>50', 1.6873270827037978)	('>100', 8.374052465226963)	('>500', 8.448980517834158)	('>1k', 34.61213125192725)	('>5k', 13.239393383060987)	('>10k+', 9.27059920451015)
SRR4420294_1	(1.0, 3.5143598067868433)	(2.0, 0.8993391560291911)	(3.0, 0.5995219633245819)	(4.0, 0.47182922107193703)	(5.0, 0.4063278924863194)	(6.0, 0.3535117536136085)	(7.0, 0.3154848637802851)	(8.0, 0.2836081005191599)	(9.0, 0.25865412675760013)	('>10', 4.418553265349325)	('>50', 1.8828724659716398)	('>100', 4.906588597040663)	('>500', 3.2274152432897956)	('>1k', 15.431661317501048)	('>5k', 12.732580248726558)	('>10k+', 50.297691977751434)
SRR4420294_2	(1.0, 6.934245417125587)	(2.0, 0.9987399059359852)	(3.0, 0.7210001191437473)	(4.0, 0.6105487776920523)	(5.0, 0.5272170755576481)	(6.0, 0.44240922930002197)	(7.0, 0.40513742589742874)	(8.0, 0.3594956797803488)	(9.0, 0.30439428346720665)	('>10', 4.147741988990345)	('>50', 0.9737315720298189)	('>100', 2.525380495484166)	('>500', 2.9458032799751424)	('>1k', 21.06677997274798)	('>5k', 17.36396321434724)	('>10k+', 39.673411562525295)
SRR4420295_1	(1.0, 8.256838226255306)	(2.0, 2.4236285038431116)	(3.0, 1.4209831225367875)	(4.0, 1.026278367080257)	(5.0, 0.8287124707505434)	(6.0, 0.7060931024156065)	(7.0, 0.5884583064434673)	(8.0, 0.5117662539419207)	(9.0, 0.44609655890066835)	('>10', 6.369058187381901)	('>50', 2.6026536122718396)	('>100', 9.140772283887074)	('>500', 6.731664476553795)	('>1k', 27.348363406923443)	('>5k', 14.418684901538434)	('>10k+', 17.17994821927578)
SRR4420295_2	(1.0, 13.339192808535541)	(2.0, 2.619725250315791)	(3.0, 1.553197299291207)	(4.0, 1.1252943766555836)	(5.0, 0.8757023560946231)	(6.0, 0.6578531393799962)	(7.0, 0.5853053450281037)	(8.0, 0.4684897798556277)	(9.0, 0.42211834715060054)	('>10', 4.560405298521242)	('>50', 1.540222164586026)	('>100', 8.353468752067148)	('>500', 8.858081485152415)	('>1k', 35.1299660366479)	('>5k', 11.618136804658544)	('>10k+', 8.292840756059674)
SRR4420296_1	(1.0, 12.360104471029006)	(2.0, 4.9848589875055955)	(3.0, 2.748539204822748)	(4.0, 1.7775561294876607)	(5.0, 1.3605923868543242)	(6.0, 1.092703319364676)	(7.0, 0.8777297007326107)	(8.0, 0.7609400429631477)	(9.0, 0.5950048464024105)	('>10', 9.390855650803278)	('>50', 4.337343928905882)	('>100', 12.867944634157558)	('>500', 6.74799721612243)	('>1k', 15.741284985205798)	('>5k', 5.880412438075435)	('>10k+', 18.476132057567447)
SRR4420296_2	(1.0, 16.987665297122714)	(2.0, 4.986755677489994)	(3.0, 2.662820231043113)	(4.0, 1.7003808121199842)	(5.0, 1.2259661742034091)	(6.0, 0.9613556079177897)	(7.0, 0.7909169027312202)	(8.0, 0.6363027727950092)	(9.0, 0.5819900385405354)	('>10', 8.821876233576683)	('>50', 4.457867406871549)	('>100', 13.287365184979482)	('>500', 6.638833443031901)	('>1k', 15.15604316915491)	('>5k', 6.180851459937634)	('>10k+', 14.92300958848403)
SRR4420297_1	(1.0, 7.001438654386657)	(2.0, 2.3565489653342504)	(3.0, 1.3198583636963908)	(4.0, 0.9435398681770044)	(5.0, 0.7096007134250507)	(6.0, 0.5995095103116037)	(7.0, 0.4994615831930369)	(8.0, 0.4566065419213274)	(9.0, 0.4040397044663758)	('>10', 6.122352277391398)	('>50', 2.5641515492827125)	('>100', 8.044317116041142)	('>500', 5.370318987133606)	('>1k', 23.968537253207973)	('>5k', 14.56353192678115)	('>10k+', 25.07618698525033)
SRR4420297_2	(1.0, 11.453543160224685)	(2.0, 2.444619108757205)	(3.0, 1.381197166224264)	(4.0, 0.9914411606524867)	(5.0, 0.7603921270724638)	(6.0, 0.6379809598503051)	(7.0, 0.5469698087639474)	(8.0, 0.4591905857125227)	(9.0, 0.40571866805728124)	('>10', 4.825546765159123)	('>50', 1.5564179182980737)	('>100', 6.042216003562235)	('>500', 6.293448468413018)	('>1k', 31.372736696334464)	('>5k', 16.810620536207935)	('>10k+', 14.017960866709972)
SRR4420298_1	(1.0, 7.301711956803099)	(2.0, 2.0066773169242826)	(3.0, 1.2387999322435195)	(4.0, 0.8990974327255156)	(5.0, 0.7487574290182677)	(6.0, 0.6224423370658535)	(7.0, 0.558974884480951)	(8.0, 0.5258390124043227)	(9.0, 0.4546235630851328)	('>10', 7.218750573507489)	('>50', 2.9999396372036498)	('>100', 8.798032061118832)	('>500', 5.68831507066644)	('>1k', 24.53966299382751)	('>5k', 15.13295981672842)	('>10k+', 21.265415982196714)
SRR4420298_2	(1.0, 11.419926654045694)	(2.0, 2.0171156984090275)	(3.0, 1.2685555908335273)	(4.0, 1.0030540024366168)	(5.0, 0.788098334716627)	(6.0, 0.7203156508589201)	(7.0, 0.6165121921826188)	(8.0, 0.5050652367097506)	(9.0, 0.4852379154883961)	('>10', 6.048991679737817)	('>50', 1.882779264219532)	('>100', 6.962509320104389)	('>500', 6.7303438235762885)	('>1k', 31.323305443044667)	('>5k', 16.37393718123622)	('>10k+', 11.85425201239991)
