Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR4420293_1	89.69029239421987	51.0	100.0	100	18.181818181818183	16.473385999999998
SRR4420293_2	85.18445530024975	51.0	100.0	100	27.27272727272727	16.473385999999998
SRR4420294_1	95.18356092740696	53.0	100.0	100	18.181818181818183	38.020528999999996
SRR4420294_2	91.59130629300769	53.0	100.0	100	18.181818181818183	38.020528999999996
SRR4420295_1	88.88653823410007	51.0	100.0	100	18.181818181818183	15.959437
SRR4420295_2	83.73807958677716	51.0	100.0	100	27.27272727272727	15.959437
SRR4420296_1	82.42899827522326	44.0	100.0	100	27.27272727272727	20.425971999999998
SRR4420296_2	77.95460092031283	44.0	100.0	100	36.36363636363637	20.425971999999998
SRR4420297_1	90.31935137242269	51.0	100.0	100	18.181818181818183	21.336824
SRR4420297_2	85.83994665405204	51.0	100.0	100	18.181818181818183	21.336824
SRR4420298_1	90.13656979619402	52.0	100.0	100	18.181818181818183	22.538225999999998
SRR4420298_2	86.0055826562737	53.0	100.0	100	18.181818181818183	22.538225999999998
