GeneID	SRR4420293.sorted	SRR4420294.sorted	SRR4420295.sorted	SRR4420296.sorted	SRR4420297.sorted	SRR4420298.sorted
AT1G01010	22	3	20	53	22	26
AT1G01020	70	6	49	159	40	30
AT1G03987	0	0	1	2	0	0
AT1G01030	12	4	22	75	26	25
AT1G01040	48	10	39	269	95	52
AT1G03993	0	0	0	0	0	0
AT1G01046	1	0	0	2	2	0
AT1G01050	89	25	128	478	160	82
AT1G03997	0	0	0	0	0	0
AT1G01060	236	134	411	1661	595	311
AT1G01070	47	8	24	92	15	20
AT1G04003	0	0	0	0	0	0
AT1G01080	102	32	92	542	137	95
AT1G01090	138	45	148	1132	265	199
AT1G01100	599	108	479	1914	528	307
AT1G01110	18	0	2	67	8	18
AT1G01120	289	44	188	572	164	110
AT1G01130	5	2	4	25	6	2
AT1G01140	403	46	150	860	206	172
AT1G01150	0	0	0	0	0	0
AT1G01160	35	12	49	185	62	44
AT1G04007	1	0	1	9	1	0
AT1G01170	149	44	170	440	99	92
AT1G04013	7	1	4	27	5	7
AT1G01180	61	18	51	213	53	56
AT1G08765	2	0	0	19	4	6
AT1G01183	0	0	0	1	1	0
AT1G01190	6	0	5	39	10	4
AT1G01200	6	0	4	15	4	6
AT1G01210	44	14	44	135	22	23
AT1G04017	0	0	0	0	0	0
AT1G01220	32	8	30	190	63	58
AT1G04023	0	0	0	0	0	0
AT1G01225	2	5	3	47	10	10
AT1G01230	88	28	80	329	93	98
AT1G01240	87	13	80	534	144	122
AT1G01250	36	19	110	252	78	61
AT1G01260	76	8	39	232	72	60
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	27	6	27	186	47	39
AT1G01300	42	10	12	118	34	30
AT1G01305	0	0	0	0	0	0
AT1G01310	0	2	1	5	1	0
AT1G01320	479	225	677	4815	1417	817
AT1G01335	0	0	0	0	0	0
AT1G01340	9	2	4	28	8	6
AT1G01350	37	2	39	200	47	45
AT1G01355	0	0	2	0	0	0
AT1G01360	106	10	48	178	58	22
AT1G01370	11	0	4	36	4	2
AT1G01380	21	4	5	30	10	6
AT1G01390	4	2	8	23	2	0
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	23	2	48	172	49	56
AT1G01430	187	72	220	919	299	256
AT1G01440	70	25	56	353	101	82
AT1G01448	4	2	5	47	10	6
AT1G01450	0	0	0	0	0	0
AT1G01453	4	0	4	2	0	2
AT1G01460	0	0	0	0	0	0
AT1G01470	249	47	147	734	196	133
AT1G01480	6	0	0	2	2	0
AT1G01490	295	64	186	1069	205	184
AT1G01500	36	8	32	169	32	37
AT1G01510	48	23	55	324	116	84
AT1G01520	30	21	141	362	128	74
AT1G01530	0	2	2	0	0	0
AT1G01540	148	39	118	538	171	131
AT1G01550	356	115	256	1700	471	350
AT1G01560	10	0	2	20	8	2
AT1G01570	5	2	13	18	16	18
AT1G01580	0	0	9	22	14	9
AT1G01590	0	2	2	0	0	0
AT1G01600	18	8	15	90	19	20
AT1G01610	92	25	70	519	98	69
AT1G01620	1377	350	1285	4595	1523	1111
AT1G01630	150	31	119	488	116	86
AT1G01640	14	2	2	38	6	8
AT1G01650	88	11	69	316	100	85
AT1G04027	0	0	2	4	0	2
AT1G01660	4	0	0	6	8	0
AT1G01670	0	0	0	13	0	3
AT1G01680	2	0	0	10	2	8
AT1G01690	15	6	8	39	21	15
AT1G01695	2	0	2	3	0	0
AT1G08775	0	0	0	0	0	0
AT1G04033	0	0	0	0	0	0
AT1G04037	3	1	4	3	3	0
AT1G01700	4	0	0	21	3	0
AT1G01710	79	20	92	381	112	109
AT1G01715	16	4	9	23	1	13
AT1G01720	191	87	237	1066	305	246
AT1G04043	0	0	0	0	0	0
AT1G01725	43	10	38	106	13	29
AT1G04047	2	0	0	2	0	2
AT1G01730	50	8	49	210	56	42
AT1G01740	10	4	8	80	16	7
AT1G01750	14	3	18	23	5	13
AT1G04053	0	0	0	0	0	0
AT1G01760	11	4	20	49	22	13
AT1G04057	0	0	0	0	0	0
AT1G01770	47	13	35	232	65	47
AT1G01780	26	6	12	71	20	18
AT1G01790	189	79	226	1518	365	288
AT1G04063	0	0	0	0	0	0
AT1G01800	164	72	217	670	231	163
AT1G01810	3	0	0	4	2	0
AT1G01820	90	19	87	431	95	89
AT1G01830	37	18	16	294	62	40
AT1G04067	0	0	0	1	0	0
